Name,الأسم,Type,نوع التصنيف,Subtype,نوع التصنيف الفرعي,Block,X Longitude,Y Latitude,Location
GULF PLASTIC INDUSTRIES,الخليج للصناعات البلاستيكية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,343.0,50.59553,26.195823,"26.195823, 50.59553"
MIDDLE EAST DETERGENT MANUFACTURE AND TRADING,الشرق الأوسط لصناعة وتجارة المنظفات,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,343.0,50.59464329,26.19745957,"26.19745957, 50.59464329"
AL ZAMIL NAIL AND SCREW FACTORY,مصنع الزامل للمسامير والبراغي,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,343.0,50.60015358,26.20027781,"26.20027781, 50.60015358"
AL MANARATAIN,المنارتين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,357.0,50.54828923,26.21342459,"26.21342459, 50.54828923"
BAHRAIN NEON,نيون البحرين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,363.0,50.55489751,26.20894541,"26.20894541, 50.55489751"
AL HAYKI TILES FACTORIES,مصانع الحايكي للبلاط,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,368.0,50.537254,26.20441666,"26.20441666, 50.537254"
AL YOUSIF GLASS & MIRRORS COMPANY,شركة اليوسف للزجاج والمرايا,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,419.0,50.54485989,26.21092629,"26.21092629, 50.54485989"
MUHAMMAD AL JASER FACTORY FOR POLLINATION AND HERBAL WATER,مصنع محمد الجسر لتقطير ماء اللقاح والأدوية الشعبية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,432.0,50.52819753,26.22986467,"26.22986467, 50.52819753"
SUHAL ALUMINUM,ألمنيوم سهل,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,439.0,50.53200094,26.2029149,"26.2029149, 50.53200094"
AL KHULOOD ALUMINIUM FACTORY,مصنع الخلود للألمنيوم,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,441.0,50.532383,26.202599,"26.202599, 50.532383"
AL JAZEERAH ALUMINUM AND GLASS FACTORY,مصنع الجزيرة للألمنيوم والزجاج,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,543.0,50.45860057,26.20649232,"26.20649232, 50.45860057"
GULF SANDS COMPANY,شركة الخليج للرمال,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,577.0,50.46857642,26.17370188,"26.17370188, 50.46857642"
ARCHITECTURAL WROUGHT IRON SYSTEM,التشكيل المعماري للحديد المطاوع,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,601.0,50.60406242,26.17652074,"26.17652074, 50.60406242"
GULF ACID INDUSTRIES,الخليج لصناعة الاسيد,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,601.0,50.61849726,26.18421238,"26.18421238, 50.61849726"
CELSHI RUBBER & PLASTIC FACTORY,سلشي للبلاستيك والمطاط,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,601.0,50.61693158,26.17923324,"26.17923324, 50.61693158"
BAHRAIN PHARMACEUTICAL COMPANY,شركة البحرين الصيدلية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,601.0,50.60876712,26.17804035,"26.17804035, 50.60876712"
BAHRAIN MINERAL COMPANY,شركة البحرين للمعادن,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,601.0,50.62100229,26.18490266,"26.18490266, 50.62100229"
AL ZEERA UNITED FACTORIES,مصانع الزيرة المتحدة,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,601.0,50.60946821,26.1809469,"26.1809469, 50.60946821"
BAHRAIN ESTABLISHMENT FOR ICE & WATER,مؤسسة البحرين للثلج والماء,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,601.0,50.60618626,26.18000722,"26.18000722, 50.60618626"
AL KHAJAH ESTABLISHMENT,مؤسسة الخاجة,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,601.0,50.61759887,26.18302562,"26.18302562, 50.61759887"
ASCON CONTROL COMPANY,شركة أسكون كونترول,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,603.0,50.61253614,26.17615131,"26.17615131, 50.61253614"
OILFIELD & TECHNICAL SUPPLIES CENTER (OTSC),شركة مركز معدات حقول النفط والأدوات الفنية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,606.0,50.60534737,26.16266717,"26.16266717, 50.60534737"
AL MANARATAIN,المنارتين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,625.0,50.59644583,26.14661373,"26.14661373, 50.59644583"
EBRAHIM RASHID AL JALAHMA,ابراهيم راشد الجلاهمة,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,634.0,50.60811477,26.13216192,"26.13216192, 50.60811477"
